"Name","Salary"
"K'Andre Miller ",3098000
"Tanner Jeannot ",3045000
"Alexander Kerfoot ",3000000
"Brett Kulak ",3000000
"Evan Rodrigues ",3000000
"Ian Cole ",3000000
"Jeff Carter ",3000000
"Justin Schultz ",3000000
"Luke Kunin ",3000000
"Marco Scandella ",3000000
"Matias Maccelli ",3000000
"Matt Duchene ",3000000
"Max Domi ",3000000
"Niko Mikkola ",3000000
"Olli Maatta ",3000000
"Pierre Engvall ",3000000
NA,NA
"Sidney Crosby ",3000000
"Tucker Poolman ",3000000
"Zach Whitecloud ",3000000
"Anton Forsberg ",2950000
"Frederick Gaudreau ",2950000
"Jake Bean ",2900000
"Andrew Peeke ",2750000
"Brayden McNabb ",2750000
"Brock McGinn ",2750000
"Luke Schenn ",2750000
"Patrick Kane ",2750000
"Semyon Varlamov ",2750000
"Nikita Zadorov ",2748760
"Garnet Hathaway ",2700000
"Jordan Martinook ",2700000
"Mathieu Joseph ",2700000
"Noah Cates ",2625000
"Adam Boqvist ",2600000
"Henri Jokiharju ",2600000
"Alex Carrier ",2500000
NA,NA
"Alexander Barabanov ",2500000
"Alexander Romanov ",2500000
"Casey Cizikas ",2500000
"Cody Glass ",2500000
"Conor Sheary ",2500000
"Dante Fabbro ",2500000
"Dominik Kubalik ",2500000
"Jacob Middleton ",2500000
"Jan Rutta ",2500000
"Noel Acciari ",2500000
"Oliver Kylington ",2500000
"Travis Boyd ",2500000
"William Borgen ",2500000
"Zemgus Girgensons ",2500000
"Lars Eller ",2450000
"David Kampf ",2400000
"Dillon Dube ",2400000
"Jesper Fast ",2400000
"Kaapo Kakko ",2400000
"Sonny Milano ",2350000
NA,NA
"Stuart Skinner ",2300000
"Trent Frederic ",2300000
"Evgenii Dadonov ",2250000
"Mason Appleton ",2250000
"Oliver Ekman-Larsson ",2250000
"Philipp Kurashev ",2250000
"Daniel Vladar ",2200000
"MacKenzie Blackwood ",2200000
"Brett Howden ",2150000
"Barrett Hayton ",2130000
"Calle Jarnkrok ",2100000
"Nick Bjugstad ",2100000
"Brandon Hagel ",2050000
"Alex Goligoski ",2000000
"Alexis Lafrenière ",2000000
"Daniel Sprong ",2000000
"Erik Brannstrom ",2000000
"Jani Hakanpaa ",2000000
"Jeremy Lauzon ",2000000
"Kevin Lankinen ",2000000
NA,NA
"Marcus Johansson ",2000000
"Max Pacioretty ",2000000
"Morgan Geekie ",2000000
"Nico Sturm ",2000000
"Nicolas Deslauriers ",2000000
"Pyotr Kochetkov ",2000000
"Ryan Donato ",2000000
"Ryan Hartman ",2000000
"Sean Durzi ",2000000
"Tyson Jost ",2000000
"Vladislav Namestnikov ",2000000
"Elias Lindholm ",1980654
"Casey DeSmith ",1900000
"Jacob Bryson ",1900000
"Michael Rasmussen ",1900000
"Theodor Blueger ",1900000
"Ryan Johansen ",1801055
"Eric Comrie ",1800000
"Isac Lundestrom ",1800000
"Morgan Frost ",1800000
NA,NA
"Alexandre Texier ",1750000
"Cal Clutterbuck ",1750000
"Connor Ingram ",1750000
"Laurent Brossoit ",1750000
"Owen Tippett ",1750000
"Pavel Francouz ",1750000
"William Carrier ",1750000
"Jake Evans ",1700000
