"Name","Salary","Tm","Pos","GP","gf_60","ga_60","avg_shift","even_toi_sec","pp_toi_sec","sh_toi_sec"
"Blake Coleman",5900000,"CGY","C",78,4.1,5.5,39,880,55,91
"Devon Toews",5900000,"COL","D",82,5.3,8,57,1136,99,170
"Kevin Labanc",5875000,"SJS","RW",46,5.8,NA,47,643,54,0
"Andrew Mangiapane",5800000,"CGY","LW",75,4.8,4.5,38,846,70,42
"Connor Murphy",5800000,"CHI","D",46,0,10.3,52,1037,8,144
"Adam Pelech",5750000,"NYI","D",58,0,9.8,33,1060,4,151
"Adrian Kempe",5750000,"LAK","LW",77,9.5,3.7,47,848,186,101
"Alec Martinez",5750000,"VEG","D",55,8.4,7.1,41,1029,38,73
"Pavel Zacha",5750000,"BOS","C",78,9,7,52,818,169,98
"Ryan Graves",5750000,"PIT","D",70,0,8.6,49,983,0,119
"Trevor Zegras",5750000,"ANA","C",31,3.1,80,58,876,148,1
"Christian Dvorak",5725000,"MTL","C",30,2.8,7.9,46,783,42,106
"Brandon Carlo",5700000,"BOS","D",76,0,7.2,32,1006,2,185
"Brock Nelson",5600000,"NYI","C",82,9.4,10.1,43,894,172,17
"William Karlsson",5600000,"VEG","C",70,7.7,7.7,41,788,154,113
"Adam Larsson",5500000,"SEA","D",81,3.8,8.4,45,1190,11,174
"Brandon Saad",5500000,"STL","LW",82,4.8,1.7,44,805,100,25
"Evander Kane",5500000,"EDM","LW",77,5.1,11.5,51,907,83,16
"Filip Hronek",5500000,"VAN","D",81,7.4,7.5,52,1185,102,117
"Jaccob Slavin",5500000,"CAR","D",81,4.9,5.6,39,1079,18,158
"Jaden Schwartz",5500000,"SEA","C",62,8.3,0,57,839,140,1
"Rasmus Ristolainen",5500000,"PHI","D",31,2.9,0,36,908,40,52
"Tyler Bertuzzi",5500000,"TOR","LW",80,8.3,0,74,864,97,0
"Brady Skjei",5400000,"CAR","D",80,14.5,5.1,41,1086,59,131
"Drake Batherson",5400000,"OTT","C",82,7.7,0,47,905,183,1
"Jakob Chychrun",5400000,"OTT","D",82,7.4,3.3,39,1169,160,13
"Ilya Mikheyev",5350000,"VAN","F",78,0.9,1.9,42,755,53,47
"Mikael Backlund",5350000,"CGY","C",82,4.1,8.7,39,900,106,146
"Oliver Bjorkstrand",5350000,"SEA","RW",82,9.9,0,54,829,141,0
"Ben Chiarot",5250000,"DET","D",77,0,10.6,42,1061,6,118
"Brandon Montour",5250000,"FLA","D",66,9.5,4.5,49,1135,234,36
"Jakob Silfverberg",5250000,"ANA","LW",81,6.7,14.4,34,592,125,64
"John Marino",5250000,"NJD","D",75,0,8.4,52,1070,8,178
"Reilly Smith",5250000,"PIT","RW",76,4.4,2.1,37,815,107,44
"Shea Theodore",5200000,"VEG","D",47,7,0,46,1120,197,6
"David Perron",5150000,"DET","LW",76,9.1,0,44,760,176,0
"Bryan Rust",5125000,"PIT","RW",62,5.5,8.9,44,935,147,91
"Barclay Goodrow",5100000,"NYR","RW",80,18.5,7.8,49,636,2,114
"Yanni Gourde",5100000,"SEA","C",80,5.5,6.3,44,891,40,114
"Artturi Lehkonen",5000000,"COL","LW",45,8.4,5.3,52,832,170,104
